deutsch_name,name,prozent,area,style,explanation,image,url
Löwenbräu,レーベンブロイ,5.20%,ミュンヘン,ラガー,世界中のビールファンが注目するオクトーバーフェストで有名な、ビールの本場ミュンヘンで「ビール純粋令」を守り続ける老舗ブルワリー。ドイツ語で、レーベンは「獅子」、ブロイは「醸造所」を意味する。独特のまろやかなコクとスッキリした飲みやすさが人気で、ライセンス生産も含め世界50カ国以上で広く愛飲されている。,Löwenbräu.jpg, https://www.amazon.co.jp/LOWENBRAU-%E3%83%AC%E3%83%BC%E3%83%99%E3%83%B3%E3%83%96%E3%83%AD%E3%82%A4-%E3%82%A2%E3%82%B5%E3%83%92-350ml%E7%BC%B6%C3%9724%E6%9C%AC/dp/B0029Z6SKA
Hofbräu,ホーフブロイ,5.10%,ミュンヘン,ピルスナー,ドイツ国立醸造所として、400年以上の歴史を持つ。オクトーバーフェストの中心を担うビール。オクトーバーフェストでのMaßbier発祥メーカーとしても知られている。,Hofbräu.jpg
Weihenstephaner Helles,ヴァイエンステファンヘフヴァイス,5.40%,レーゲンスブルグ,ヴァイツェン,ヘフはイースト菌、ヴァイスは小麦。白濁ビールの代表であるヴァイエン醸造所は香り、芳醁さが桁違い。,Weihenstephaner Helles.jpg
Pinkus Weizen,ピンカス　ヴァイツェン,5.00%,ミュンスター,ヴァイツェン,オーガニックのヴァイツェン（白ビール）。酵母を取り除いた透明感が特徴的。,Pinkus Weizen.jpg
Eku 28,エク28,11.00%,クルムバッハ,ボック,味噌や醤油に通じる醸造香が豊かに広げるクセの強いビール。香り同様、味わいも濃厚で、アルコール度数もかなり高め。常温から軽く冷やして、ゆっくり味わうようにして飲むのがおすすめ。,Eku 28.jpg
Bitburger premium pils,ビットブルガー　プレミアム・ピルス,4.80%,ビットブルク,ピルスナー,世界中のレストランやホテルの指定銘柄として供され愛飲される、そいつを代表するピルスナービール。名水の郷、アイフェル地方の澄み切った水と、厳選された大麦モルト、酵母、ホップを使用し、伝統的な長期低温発酵で造られる切れ味鋭い仕上がり。,Bitburger premium pils .jpg
Weltenburger Weizen,ヴァルテンブルガー　ヴァイツェン,5.10%,ケルハイム,ヴァイツェン,ヴェルテンブルグ修道院は、七世紀頃に南ドイツ・ドナウ河畔のケルハイムで創建された。ビールの醸造は1050年から行ったとの記録があり、現存する修道院醸造所としては最古のブランドである。中でもこのビールは、小麦麦芽を65%使用し、小麦本来の華やかな風味が楽しめる黄金色の」上面発酵ビールである。,Weltenburger Weizen.jpg
Jever Pilsner,イェヴァー・ピルスナー,4.90%,フリースラント,ピルスナー,力強いホップの風味と爽やかな香り、そして「ドイツで一番苦い」と言われるそのビール本来の自然な苦味が特徴的。さっぱりとして口当たりのなかにピリッとホップの苦味が目を覚まさせる。肉料理との相性はもちろん、和食にもよく合う。何本飲んでも飲み飽きない美味しさで、ドライタイプのビールがお好きな方におすすめ。,Jever Pilsner.jpg
Spaten Münchnerhell,シュパーテン　ミュヒナーヘル,5.20%,ミュンヘン,ラガー,世界で初めてのラガー世界で初めてのラガービール。ミュンヘン最初の醸造所として600年の歴史を誇るシュパーテン社の代表銘柄。ババリア地方の大麦麦芽とハラトー産ホップ選りすぐりの公募を使用して造られた最高級のビール。スムーズな口当たりで飲み心地は最高。,Spaten Münchenerhell.jpg
Spaten Oktoberfestbier,シュパーテン　オクトーバーフェストビアー,5.90%,ミュンヘン,メルツェン,オクトーバーフェストの公式6大ブルワリーの一つで、600年以上の歴史を持つ由緒正しきシュパーテン醸造所の期間限定ビール。長期低温熟成により生み出される豊かなホップの香りとフルーティな麦芽の風味が魅力的。,Spaten Oktoberfestbier.jpg
Franziskaner Hefe Weiss,フランチスカナー,5.00%,ミュンヘン,ヴァイス,小麦麦芽を使用し、伝統的な上面発酵製法で造り上げたヴァイスビールの傑作。ボトルの中で活発に活動する公募が、フレッシュな味わいと爽やかな泡立ちをもたらす。濃い黄金色で、ピュアーでスッキリして味わい。特有の酵母による自然な濁りが特徴的な最高のババリアンヴァイスビール。,Franziskaner Hefe Weiss.jpg
