name,deutsch_name,region
ミュンヘン,München,バイエルン
レーゲンスブルグ,Regensburg,バイエルン
ミュンスター,Münster,ノルトライン＝ウェストファーレン
クルムバッハ,Kulmbach,バイエルン
ビットブルク,Bitburg,ラインラント＝プファルツ
ケールハイム,Kelheim,バイエルン
フリースラント,Friesland,ニーダーザクセン
エルヂィング,Erding,バイエルン
ケルン,Köln,ノルトライン＝ウェストファーレン
フランクフルト,Frankfurt am Main,ヘッセン
バートケストリッツ,Bad Köstritz,テューリンゲン
バイロイト,Bayreuth,バイエルン
ハンブルク,Hamburg,ハンブルク
ゾンネンベルク,Sonnenberg,ブランデンブルク
キール,Kiel,シュレースヴィヒ＝ホルシュタイン
リューブ,Lürb,メクレンブルク＝フォアポンメルン
ヴァルシュタイン,Warstein,ノルトライン＝ヴェストファーレン
ゲルテンドルフ,Geltendorf,バイエルン
ベルリン,Berlin,ベルリン
